class,proportion,species,run
LTR (Gypsy),14.068,Taxus,1
LTR (Gypsy),13.605,Taxus,2
LTR (Gypsy),13.641,Taxus,3
LTR (Other),0,Ceratopteris,1
LTR (Other),0,Ceratopteris,2
LTR (Other),0,Ceratopteris,3
LTR (Other),0.464,Cystopteris,1
LTR (Other),0.319,Cystopteris,2
LTR (Other),0.353,Cystopteris,3
LTR (Other),0.24,Dipteris,1
LTR (Other),0,Dipteris,2
LTR (Other),0,Dipteris,3
LTR (Other),0.44,Plagiogyria,1
LTR (Other),0.422,Plagiogyria,2
LTR (Other),0.442,Plagiogyria,3
LTR (Other),0.021,Polypodium,1
LTR (Other),0.065,Polypodium,2
LTR (Other),0.033,Polypodium,3
LTR (Other),0,Pteridium,1
LTR (Other),0.169,Pteridium,2
LTR (Other),0.19,Pteridium,3
LTR (Other),0.518,Amborella,1
LTR (Other),0.548,Amborella,2
LTR (Other),0.585,Amborella,3
LTR (Other),0.1881,Vitis,1
LTR (Other),0.1947,Vitis,2
LTR (Other),0.2394,Vitis,3
LTR (Other),0.082,Zea,1
LTR (Other),0.08,Zea,2
LTR (Other),0.064,Zea,3
LTR (Other),0.066,Gnetum,1
LTR (Other),0,Gnetum,2
LTR (Other),0,Gnetum,3
LTR (Other),0,Pinus,1
LTR (Other),0.053,Pinus,2
LTR (Other),0.043,Pinus,3
LTR (Other),0,Taxus,1
LTR (Other),0.099,Taxus,2
LTR (Other),0,Taxus,3
Non repetitive,24.033,Ceratopteris,1
Non repetitive,24.152,Ceratopteris,2
Non repetitive,24.087,Ceratopteris,3
Non repetitive,28.817,Cystopteris,1
Non repetitive,39.764,Cystopteris,2
Non repetitive,28.82,Cystopteris,3
Non repetitive,51.614,Dipteris,1
Non repetitive,51.405,Dipteris,2
Non repetitive,51.433,Dipteris,3
Non repetitive,32.307,Plagiogyria,1
Non repetitive,34.721,Plagiogyria,2
Non repetitive,32.093,Plagiogyria,3
Non repetitive,38.612,Polypodium,1
Non repetitive,38.63,Polypodium,2
Non repetitive,38.658,Polypodium,3
Non repetitive,52.696,Pteridium,1
Non repetitive,39.324,Pteridium,2
Non repetitive,39.15,Pteridium,3
Non repetitive,83.74,Amborella,1
Non repetitive,83.897,Amborella,2
Non repetitive,83.735,Amborella,3
Non repetitive,76.5956,Vitis,1
Non repetitive,76.7591,Vitis,2
Non repetitive,77.2237,Vitis,3
Non repetitive,25.512,Zea,1
Non repetitive,25.498,Zea,2
Non repetitive,25.565,Zea,3
Non repetitive,54.642,Gnetum,1
Non repetitive,54.753,Gnetum,2
Non repetitive,54.612,Gnetum,3
Non repetitive,49.899,Pinus,1
Non repetitive,41.221,Pinus,2
Non repetitive,41.153,Pinus,3
Non repetitive,58.077,Taxus,1
Non repetitive,58.014,Taxus,2
Non repetitive,57.843,Taxus,3
Rolling Circle,0,Ceratopteris,1
Rolling Circle,0,Ceratopteris,2
Rolling Circle,0,Ceratopteris,3
Rolling Circle,0.188,Cystopteris,1
Rolling Circle,0,Cystopteris,2
Rolling Circle,0.116,Cystopteris,3
Rolling Circle,0.143,Dipteris,1
Rolling Circle,0.137,Dipteris,2
Rolling Circle,0.138,Dipteris,3
Rolling Circle,0.855,Plagiogyria,1
Rolling Circle,1.009,Plagiogyria,2
Rolling Circle,0.941,Plagiogyria,3
Rolling Circle,0.338,Polypodium,1
Rolling Circle,0.479,Polypodium,2
Rolling Circle,0.525,Polypodium,3
Rolling Circle,0.294,Pteridium,1
